"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","6325607","302","3162803"
"создание и поддержка интеллектуальных медиасистем","2568289","324","1284144"
"телефония","5033167","311","2516583"
"создание виртуального офиса","3219228","195","1609614"
"организация резервного копирования","9286725","95","3095575"
"администрирование сетей и серверов","8120830","324","4060415"
"техническая поддержка рабочих станций и ИТ сервисов","2333090","219","777696"
"веб-разработка","1822072","92","911036"
"создание мобильных систем","1858956","85","929478"
"создание и обслуживание систем контроля доступа к портам и устройствам","684694","355","342347"
"организацию антивирусной защиты","159161","171","53053"
"решения касающиеся сетевой безопасности и отражения угроз","6795815","259","3397907"
"организация систем видеонаблюдения","6184903","95","3092451"
"построение и обслуживание структурированных кабельных систем (СКС)","7831202","210","2610400"
"создание и поддержка интеллектуальных медиасистем","8547975","68","4273987"
"телефония","6841500","99","2280500"
"создание виртуального офиса","4592900","153","1530966"
"организация резервного копирования","8677998","24","4338999"
"администрирование сетей и серверов","1649033","14","549677"
"техническая поддержка рабочих станций и ИТ сервисов","2770191","246","1385095"
"веб-разработка","4175883","168","1391961"
"создание мобильных систем","5044072","230","1681357"
"создание и обслуживание систем контроля доступа к портам и устройствам","5171635","144","2585817"
"организацию антивирусной защиты","8308321","84","2769440"
"решения касающиеся сетевой безопасности и отражения угроз","4301979","234","1433993"
"организация систем видеонаблюдения","4371603","163","2185801"
"построение и обслуживание структурированных кабельных систем (СКС)","5629044","272","1876348"
"создание и поддержка интеллектуальных медиасистем","8766877","23","4383438"
"телефония","7016546","128","2338848"
"создание виртуального офиса","2260347","130","1130173"
"организация резервного копирования","9841401","299","3280467"
"администрирование сетей и серверов","8897592","70","4448796"
"техническая поддержка рабочих станций и ИТ сервисов","1002468","310","501234"
"веб-разработка","2517530","321","1258765"
"создание мобильных систем","3494012","265","1164670"
"создание и обслуживание систем контроля доступа к портам и устройствам","3591257","328","1795628"
"организацию антивирусной защиты","5903739","330","2951869"
"решения касающиеся сетевой безопасности и отражения угроз","1555572","219","777786"
"организация систем видеонаблюдения","4727641","229","2363820"
"построение и обслуживание структурированных кабельных систем (СКС)","3489085","308","1744542"
"создание и поддержка интеллектуальных медиасистем","5545358","300","1848452"
"телефония","6979301","300","2326433"
"создание виртуального офиса","9412122","24","3137374"
"организация резервного копирования","676438","107","338219"
"администрирование сетей и серверов","9543895","243","4771947"
"техническая поддержка рабочих станций и ИТ сервисов","4927885","284","2463942"
"веб-разработка","8998232","295","4499116"
"создание мобильных систем","4166950","176","1388983"
