"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","4582212","256","1527404"
"создание и поддержка интеллектуальных медиасистем","4936524","92","2468262"
"телефония","2560837","136","1280418"
"создание виртуального офиса","7293227","229","2431075"
"организация резервного копирования","4034199","244","2017099"
"администрирование сетей и серверов","8647221","302","4323610"
"техническая поддержка рабочих станций и ИТ сервисов","1571688","126","523896"
"веб-разработка","4094598","86","2047299"
"создание мобильных систем","8426799","107","2808933"
"создание и обслуживание систем контроля доступа к портам и устройствам","6845526","297","3422763"
"организацию антивирусной защиты","1995084","128","997542"
"решения касающиеся сетевой безопасности и отражения угроз","5335260","335","1778420"
"организация систем видеонаблюдения","5915640","204","1971880"
"построение и обслуживание структурированных кабельных систем (СКС)","1753076","335","876538"
"создание и поддержка интеллектуальных медиасистем","5285971","277","2642985"
"телефония","5717821","120","2858910"
"создание виртуального офиса","3870168","242","1290056"
"организация резервного копирования","5119109","338","2559554"
"администрирование сетей и серверов","9068034","57","4534017"
"техническая поддержка рабочих станций и ИТ сервисов","5972194","24","1990731"
"веб-разработка","5338850","249","2669425"
"создание мобильных систем","5588371","359","2794185"
"создание и обслуживание систем контроля доступа к портам и устройствам","8461984","133","4230992"
"организацию антивирусной защиты","3489927","35","1163309"
"решения касающиеся сетевой безопасности и отражения угроз","3149192","18","1049730"
"организация систем видеонаблюдения","8341655","196","2780551"
"построение и обслуживание структурированных кабельных систем (СКС)","3833392","94","1916696"
"создание и поддержка интеллектуальных медиасистем","9848332","211","3282777"
"телефония","6245692","102","3122846"
"создание виртуального офиса","7365176","296","2455058"
"организация резервного копирования","3440479","196","1146826"
"администрирование сетей и серверов","8871926","345","4435963"
"техническая поддержка рабочих станций и ИТ сервисов","9175449","151","4587724"
"веб-разработка","2354395","115","784798"
"создание мобильных систем","274483","299","91494"
"создание и обслуживание систем контроля доступа к портам и устройствам","5789922","283","1929974"
"организацию антивирусной защиты","9364423","103","4682211"
"решения касающиеся сетевой безопасности и отражения угроз","9871651","307","3290550"
"организация систем видеонаблюдения","1399829","347","466609"
"построение и обслуживание структурированных кабельных систем (СКС)","8566609","357","4283304"
"создание и поддержка интеллектуальных медиасистем","2390489","222","1195244"
"телефония","6374368","109","3187184"
"создание виртуального офиса","6958195","14","2319398"
"организация резервного копирования","8424896","306","4212448"
"администрирование сетей и серверов","9248338","345","3082779"
"техническая поддержка рабочих станций и ИТ сервисов","3505966","124","1168655"
"веб-разработка","3462497","164","1731248"
"создание мобильных систем","9018230","359","3006076"
"создание и обслуживание систем контроля доступа к портам и устройствам","2352469","253","784156"
"организацию антивирусной защиты","3427067","134","1713533"
"решения касающиеся сетевой безопасности и отражения угроз","7645264","260","2548421"
"организация систем видеонаблюдения","8719127","342","2906375"
"построение и обслуживание структурированных кабельных систем (СКС)","3848329","103","1924164"
"создание и поддержка интеллектуальных медиасистем","9413158","87","3137719"
"телефония","9588329","297","3196109"
"создание виртуального офиса","4886262","113","2443131"
"организация резервного копирования","6842245","266","3421122"
"администрирование сетей и серверов","4242851","355","1414283"
"техническая поддержка рабочих станций и ИТ сервисов","9456327","249","3152109"
"веб-разработка","4725287","129","2362643"
"создание мобильных систем","6236061","49","2078687"
"создание и обслуживание систем контроля доступа к портам и устройствам","5962395","189","2981197"
"организацию антивирусной защиты","6492718","173","3246359"
"решения касающиеся сетевой безопасности и отражения угроз","7376498","37","2458832"
"организация систем видеонаблюдения","1463753","59","731876"
"построение и обслуживание структурированных кабельных систем (СКС)","1650256","173","550085"
"создание и поддержка интеллектуальных медиасистем","2576939","173","1288469"
"телефония","1437155","118","718577"
"создание виртуального офиса","9948110","130","3316036"
"организация резервного копирования","4865310","211","2432655"
"администрирование сетей и серверов","1033834","231","344611"
"техническая поддержка рабочих станций и ИТ сервисов","7946974","255","3973487"
"веб-разработка","9795500","321","4897750"
"создание мобильных систем","9923452","177","3307817"
"создание и обслуживание систем контроля доступа к портам и устройствам","197646","179","65882"
"организацию антивирусной защиты","9612111","78","3204037"
"решения касающиеся сетевой безопасности и отражения угроз","7354660","315","3677330"
"организация систем видеонаблюдения","6753186","286","2251062"
