"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","9519793","196","4759896"
"создание и поддержка интеллектуальных медиасистем","3612236","186","1204078"
"телефония","7330606","105","2443535"
"создание виртуального офиса","5633485","270","2816742"
"организация резервного копирования","9666127","35","3222042"
"администрирование сетей и серверов","8671061","203","2890353"
"техническая поддержка рабочих станций и ИТ сервисов","5433110","39","2716555"
"веб-разработка","9070245","293","4535122"
"создание мобильных систем","3695354","25","1231784"
"создание и обслуживание систем контроля доступа к портам и устройствам","4531135","33","2265567"
"организацию антивирусной защиты","7819661","318","2606553"
"решения касающиеся сетевой безопасности и отражения угроз","4973045","103","1657681"
"организация систем видеонаблюдения","4256746","283","2128373"
"построение и обслуживание структурированных кабельных систем (СКС)","4982215","231","2491107"
"создание и поддержка интеллектуальных медиасистем","5060615","292","1686871"
"телефония","4638958","274","1546319"
"создание виртуального офиса","7996203","284","2665401"
"организация резервного копирования","8114161","304","2704720"
"администрирование сетей и серверов","4935950","165","2467975"
"техническая поддержка рабочих станций и ИТ сервисов","7861024","334","3930512"
"веб-разработка","1035081","36","345027"
"создание мобильных систем","2810889","276","936963"
"создание и обслуживание систем контроля доступа к портам и устройствам","6956998","65","3478499"
"организацию антивирусной защиты","1364386","135","454795"
"решения касающиеся сетевой безопасности и отражения угроз","9754690","251","3251563"
"организация систем видеонаблюдения","6585754","163","3292877"
"построение и обслуживание структурированных кабельных систем (СКС)","4449992","364","2224996"
"создание и поддержка интеллектуальных медиасистем","6606160","326","3303080"
"телефония","782058","38","260686"
"создание виртуального офиса","5487347","311","2743673"
"организация резервного копирования","477750","55","159250"
"администрирование сетей и серверов","1361300","319","453766"
"техническая поддержка рабочих станций и ИТ сервисов","3906259","182","1302086"
"веб-разработка","7605283","60","3802641"
"создание мобильных систем","275815","194","137907"
"создание и обслуживание систем контроля доступа к портам и устройствам","1392784","136","464261"
"организацию антивирусной защиты","3738600","91","1869300"
"решения касающиеся сетевой безопасности и отражения угроз","8221716","101","4110858"
"организация систем видеонаблюдения","8786780","282","4393390"
"построение и обслуживание структурированных кабельных систем (СКС)","9174794","130","3058264"
"создание и поддержка интеллектуальных медиасистем","6435635","48","2145211"
"телефония","2524353","149","841451"
"создание виртуального офиса","7824017","177","2608005"
"организация резервного копирования","6003668","254","2001222"
"администрирование сетей и серверов","3383935","322","1127978"
"техническая поддержка рабочих станций и ИТ сервисов","7761205","265","2587068"
"веб-разработка","1119535","113","559767"
"создание мобильных систем","939000","66","469500"
"создание и обслуживание систем контроля доступа к портам и устройствам","1679095","182","559698"
"организацию антивирусной защиты","3752705","204","1250901"
"решения касающиеся сетевой безопасности и отражения угроз","307231","256","153615"
"организация систем видеонаблюдения","1472445","281","736222"
"построение и обслуживание структурированных кабельных систем (СКС)","7298541","274","3649270"
