"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","5643980","338","1881326"
"создание и поддержка интеллектуальных медиасистем","3324216","347","1108072"
"телефония","2147325","48","715775"
"создание виртуального офиса","5513467","127","1837822"
"организация резервного копирования","5687954","104","1895984"
"администрирование сетей и серверов","9593644","99","3197881"
"техническая поддержка рабочих станций и ИТ сервисов","9760808","154","4880404"
"веб-разработка","7625770","139","3812885"
"создание мобильных систем","8438087","133","4219043"
"создание и обслуживание систем контроля доступа к портам и устройствам","5494112","71","2747056"
"организацию антивирусной защиты","675551","362","225183"
"решения касающиеся сетевой безопасности и отражения угроз","5204531","218","2602265"
"организация систем видеонаблюдения","461340","124","153780"
"построение и обслуживание структурированных кабельных систем (СКС)","9865696","40","4932848"
"создание и поддержка интеллектуальных медиасистем","324426","274","162213"
"телефония","6333776","152","3166888"
"создание виртуального офиса","6439291","41","2146430"
"организация резервного копирования","5398570","163","2699285"
"администрирование сетей и серверов","3635056","299","1817528"
"техническая поддержка рабочих станций и ИТ сервисов","1564826","43","782413"
"веб-разработка","3166784","257","1055594"
"создание мобильных систем","4629993","65","2314996"
"создание и обслуживание систем контроля доступа к портам и устройствам","9592109","293","4796054"
"организацию антивирусной защиты","618572","226","206190"
"решения касающиеся сетевой безопасности и отражения угроз","2804577","193","1402288"
"организация систем видеонаблюдения","3264171","80","1088057"
"построение и обслуживание структурированных кабельных систем (СКС)","164354","350","82177"
"создание и поддержка интеллектуальных медиасистем","7260239","102","3630119"
"телефония","762543","213","381271"
"создание виртуального офиса","6177729","314","2059243"
"организация резервного копирования","9633190","84","4816595"
"администрирование сетей и серверов","8290663","219","4145331"
"техническая поддержка рабочих станций и ИТ сервисов","5170260","110","2585130"
"веб-разработка","3950835","270","1975417"
"создание мобильных систем","7182521","245","2394173"
"создание и обслуживание систем контроля доступа к портам и устройствам","9167705","171","4583852"
"организацию антивирусной защиты","7318012","146","3659006"
"решения касающиеся сетевой безопасности и отражения угроз","5653534","342","1884511"
"организация систем видеонаблюдения","4791545","252","1597181"
"построение и обслуживание структурированных кабельных систем (СКС)","3218327","284","1609163"
"создание и поддержка интеллектуальных медиасистем","6855889","220","2285296"
"телефония","9956524","205","3318841"
"создание виртуального офиса","1864398","45","621466"
"организация резервного копирования","7921930","238","2640643"
