"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","3335741","55","1667870"
"создание и поддержка интеллектуальных медиасистем","2397056","246","799018"
"телефония","9685777","204","3228592"
"создание виртуального офиса","3369030","172","1123010"
"организация резервного копирования","8993849","54","4496924"
"администрирование сетей и серверов","8768208","353","2922736"
"техническая поддержка рабочих станций и ИТ сервисов","6145262","286","3072631"
"веб-разработка","5141042","328","1713680"
"создание мобильных систем","821683","74","410841"
"создание и обслуживание систем контроля доступа к портам и устройствам","1235939","191","411979"
"организацию антивирусной защиты","8318050","276","4159025"
"решения касающиеся сетевой безопасности и отражения угроз","8456728","121","2818909"
"организация систем видеонаблюдения","3586536","44","1793268"
"построение и обслуживание структурированных кабельных систем (СКС)","2940705","135","980235"
"создание и поддержка интеллектуальных медиасистем","4464616","168","1488205"
"телефония","4936195","73","2468097"
"создание виртуального офиса","2723875","177","907958"
"организация резервного копирования","7546962","74","3773481"
"администрирование сетей и серверов","7713253","48","2571084"
"техническая поддержка рабочих станций и ИТ сервисов","4989432","55","1663144"
"веб-разработка","8271040","95","4135520"
"создание мобильных систем","1864702","304","621567"
"создание и обслуживание систем контроля доступа к портам и устройствам","5883322","62","1961107"
"организацию антивирусной защиты","8486887","104","4243443"
"решения касающиеся сетевой безопасности и отражения угроз","755052","221","251684"
"организация систем видеонаблюдения","6773603","352","2257867"
"построение и обслуживание структурированных кабельных систем (СКС)","2075161","291","691720"
"создание и поддержка интеллектуальных медиасистем","9204397","109","3068132"
"телефония","258120","221","86040"
"создание виртуального офиса","9318289","315","4659144"
"организация резервного копирования","7135125","287","2378375"
"администрирование сетей и серверов","8381539","109","2793846"
"техническая поддержка рабочих станций и ИТ сервисов","7276877","219","3638438"
"веб-разработка","8289061","215","2763020"
"создание мобильных систем","9981810","243","4990905"
"создание и обслуживание систем контроля доступа к портам и устройствам","121992","61","60996"
"организацию антивирусной защиты","768649","36","384324"
"решения касающиеся сетевой безопасности и отражения угроз","6934080","46","2311360"
"организация систем видеонаблюдения","7235323","91","2411774"
"построение и обслуживание структурированных кабельных систем (СКС)","3100070","325","1033356"
"создание и поддержка интеллектуальных медиасистем","9786599","65","3262199"
"телефония","2888516","30","962838"
"создание виртуального офиса","7429394","116","3714697"
"организация резервного копирования","1294083","157","431361"
"администрирование сетей и серверов","7228525","195","3614262"
"техническая поддержка рабочих станций и ИТ сервисов","1932138","178","644046"
"веб-разработка","9969538","105","3323179"
"создание мобильных систем","1648326","193","824163"
"создание и обслуживание систем контроля доступа к портам и устройствам","1253119","164","417706"
"организацию антивирусной защиты","3215779","74","1607889"
"решения касающиеся сетевой безопасности и отражения угроз","6247376","183","2082458"
"организация систем видеонаблюдения","6039939","119","2013313"
"построение и обслуживание структурированных кабельных систем (СКС)","1683744","131","841872"
"создание и поддержка интеллектуальных медиасистем","6441129","79","3220564"
"телефония","7557936","248","3778968"
"создание виртуального офиса","2473221","198","1236610"
"организация резервного копирования","8076441","244","2692147"
"администрирование сетей и серверов","5869761","160","2934880"
"техническая поддержка рабочих станций и ИТ сервисов","9094068","195","3031356"
"веб-разработка","2557175","31","852391"
"создание мобильных систем","1280914","57","426971"
"создание и обслуживание систем контроля доступа к портам и устройствам","6613584","287","2204528"
"организацию антивирусной защиты","196159","355","98079"
"решения касающиеся сетевой безопасности и отражения угроз","5258735","175","2629367"
"организация систем видеонаблюдения","4495486","328","1498495"
"построение и обслуживание структурированных кабельных систем (СКС)","4471959","139","2235979"
"создание и поддержка интеллектуальных медиасистем","1817272","52","908636"
"телефония","2815384","191","938461"
"создание виртуального офиса","349107","212","174553"
"организация резервного копирования","3377036","310","1688518"
"администрирование сетей и серверов","3482778","248","1741389"
"техническая поддержка рабочих станций и ИТ сервисов","5459227","257","2729613"
"веб-разработка","5816310","340","1938770"
"создание мобильных систем","2105640","216","701880"
"создание и обслуживание систем контроля доступа к портам и устройствам","3421705","184","1710852"
"организацию антивирусной защиты","8358869","34","2786289"
"решения касающиеся сетевой безопасности и отражения угроз","4095813","81","1365271"
"организация систем видеонаблюдения","8145470","109","2715156"
"построение и обслуживание структурированных кабельных систем (СКС)","9656520","256","3218840"
"создание и поддержка интеллектуальных медиасистем","7572270","354","2524090"
"телефония","1111851","199","555925"
"создание виртуального офиса","7202274","250","2400758"
"организация резервного копирования","8549111","340","2849703"
"администрирование сетей и серверов","6217070","206","2072356"
"техническая поддержка рабочих станций и ИТ сервисов","8624539","25","4312269"
"веб-разработка","9966042","256","4983021"
"создание мобильных систем","7388191","114","3694095"
"создание и обслуживание систем контроля доступа к портам и устройствам","650643","364","325321"
"организацию антивирусной защиты","2583357","185","861119"
"решения касающиеся сетевой безопасности и отражения угроз","4143607","335","1381202"
"организация систем видеонаблюдения","1773656","130","886828"
"построение и обслуживание структурированных кабельных систем (СКС)","7948178","220","2649392"
"создание и поддержка интеллектуальных медиасистем","121483","362","60741"
"телефония","2306286","159","768762"
"создание виртуального офиса","769429","207","256476"
"организация резервного копирования","653845","244","326922"
"администрирование сетей и серверов","9972747","209","3324249"
"техническая поддержка рабочих станций и ИТ сервисов","4833831","161","1611277"
"веб-разработка","3728493","128","1864246"
"создание мобильных систем","3766332","130","1255444"
