"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","8665423","191","2888474"
"создание и поддержка интеллектуальных медиасистем","9188992","222","3062997"
"телефония","1871138","240","623712"
"создание виртуального офиса","9805022","321","3268340"
"организация резервного копирования","5376393","40","2688196"
"администрирование сетей и серверов","706231","360","353115"
"техническая поддержка рабочих станций и ИТ сервисов","9536816","304","4768408"
"веб-разработка","5449382","148","1816460"
"создание мобильных систем","6735908","111","2245302"
"создание и обслуживание систем контроля доступа к портам и устройствам","6051362","288","3025681"
"организацию антивирусной защиты","9176189","267","4588094"
"решения касающиеся сетевой безопасности и отражения угроз","8156318","148","2718772"
"организация систем видеонаблюдения","4875557","271","1625185"
"построение и обслуживание структурированных кабельных систем (СКС)","6063525","94","2021175"
"создание и поддержка интеллектуальных медиасистем","205504","241","102752"
"телефония","9546168","278","3182056"
"создание виртуального офиса","7994671","331","3997335"
"организация резервного копирования","5509284","317","2754642"
"администрирование сетей и серверов","1919524","47","639841"
"техническая поддержка рабочих станций и ИТ сервисов","4065517","214","1355172"
"веб-разработка","7707224","178","3853612"
"создание мобильных систем","9100541","348","3033513"
"создание и обслуживание систем контроля доступа к портам и устройствам","3199698","109","1599849"
"организацию антивирусной защиты","947743","253","315914"
"решения касающиеся сетевой безопасности и отражения угроз","9514724","168","3171574"
"организация систем видеонаблюдения","888787","267","296262"
"построение и обслуживание структурированных кабельных систем (СКС)","7392059","285","3696029"
"создание и поддержка интеллектуальных медиасистем","8559709","198","2853236"
"телефония","2363014","164","787671"
"создание виртуального офиса","5172287","33","2586143"
"организация резервного копирования","5059876","178","2529938"
"администрирование сетей и серверов","7329093","26","2443031"
"техническая поддержка рабочих станций и ИТ сервисов","2460400","26","1230200"
"веб-разработка","4867915","169","1622638"
"создание мобильных систем","8193487","276","2731162"
"создание и обслуживание систем контроля доступа к портам и устройствам","9276931","129","4638465"
"организацию антивирусной защиты","9614354","355","4807177"
"решения касающиеся сетевой безопасности и отражения угроз","3695353","322","1231784"
"организация систем видеонаблюдения","7296514","36","2432171"
"построение и обслуживание структурированных кабельных систем (СКС)","1671096","53","557032"
