"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","5572594","308","1857531"
"создание и поддержка интеллектуальных медиасистем","4185453","35","1395151"
"телефония","2336142","267","1168071"
"создание виртуального офиса","8846829","262","2948943"
"организация резервного копирования","7928511","296","3964255"
"администрирование сетей и серверов","7883518","360","3941759"
"техническая поддержка рабочих станций и ИТ сервисов","8524858","244","4262429"
"веб-разработка","7565044","285","3782522"
"создание мобильных систем","7268498","86","2422832"
"создание и обслуживание систем контроля доступа к портам и устройствам","6713015","109","3356507"
"организацию антивирусной защиты","2764405","163","1382202"
"решения касающиеся сетевой безопасности и отражения угроз","1163178","57","581589"
"организация систем видеонаблюдения","9307947","90","4653973"
"построение и обслуживание структурированных кабельных систем (СКС)","3964609","14","1321536"
"создание и поддержка интеллектуальных медиасистем","3324173","346","1662086"
"телефония","2307430","168","1153715"
"создание виртуального офиса","3194252","71","1597126"
"организация резервного копирования","2366956","314","788985"
"администрирование сетей и серверов","2756049","355","918683"
"техническая поддержка рабочих станций и ИТ сервисов","1871262","292","623754"
"веб-разработка","9136604","186","4568302"
"создание мобильных систем","8442376","268","4221188"
"создание и обслуживание систем контроля доступа к портам и устройствам","6542976","218","3271488"
"организацию антивирусной защиты","1034070","354","517035"
"решения касающиеся сетевой безопасности и отражения угроз","587207","221","195735"
"организация систем видеонаблюдения","855970","226","285323"
"построение и обслуживание структурированных кабельных систем (СКС)","2958428","85","1479214"
"создание и поддержка интеллектуальных медиасистем","2286850","328","762283"
"телефония","1796707","271","598902"
"создание виртуального офиса","6867838","28","2289279"
"организация резервного копирования","9673022","349","4836511"
"администрирование сетей и серверов","3414650","68","1707325"
"техническая поддержка рабочих станций и ИТ сервисов","1999533","301","999766"
"веб-разработка","9641646","288","3213882"
"создание мобильных систем","9191651","223","3063883"
"создание и обслуживание систем контроля доступа к портам и устройствам","9135641","295","3045213"
"организацию антивирусной защиты","2435026","362","1217513"
"решения касающиеся сетевой безопасности и отражения угроз","4797260","173","2398630"
"организация систем видеонаблюдения","5700643","345","1900214"
"построение и обслуживание структурированных кабельных систем (СКС)","4752114","319","2376057"
"создание и поддержка интеллектуальных медиасистем","4902346","22","2451173"
"телефония","6276218","158","3138109"
"создание виртуального офиса","7185698","90","3592849"
"организация резервного копирования","6960368","356","3480184"
"администрирование сетей и серверов","9804382","319","4902191"
"техническая поддержка рабочих станций и ИТ сервисов","8402451","70","2800817"
"веб-разработка","9202944","72","3067648"
"создание мобильных систем","4906503","319","2453251"
"создание и обслуживание систем контроля доступа к портам и устройствам","1470826","136","735413"
"организацию антивирусной защиты","3013869","101","1004623"
"решения касающиеся сетевой безопасности и отражения угроз","2602795","317","1301397"
"организация систем видеонаблюдения","7046236","139","3523118"
"построение и обслуживание структурированных кабельных систем (СКС)","7602909","173","3801454"
"создание и поддержка интеллектуальных медиасистем","1461582","149","730791"
"телефония","2496596","131","832198"
"создание виртуального офиса","8959758","222","4479879"
"организация резервного копирования","8491070","157","4245535"
"администрирование сетей и серверов","7876648","87","2625549"
"техническая поддержка рабочих станций и ИТ сервисов","4109119","170","1369706"
"веб-разработка","976928","321","325642"
"создание мобильных систем","6788201","154","3394100"
"создание и обслуживание систем контроля доступа к портам и устройствам","9678867","326","3226289"
"организацию антивирусной защиты","1970068","345","985034"
"решения касающиеся сетевой безопасности и отражения угроз","6159973","29","3079986"
"организация систем видеонаблюдения","9095927","63","4547963"
"построение и обслуживание структурированных кабельных систем (СКС)","3451237","128","1725618"
"создание и поддержка интеллектуальных медиасистем","5221714","19","2610857"
"телефония","8020230","60","2673410"
"создание виртуального офиса","427292","74","213646"
"организация резервного копирования","800880","195","266960"
"администрирование сетей и серверов","5180163","335","1726721"
"техническая поддержка рабочих станций и ИТ сервисов","7635858","115","2545286"
"веб-разработка","3848169","201","1924084"
"создание мобильных систем","6832568","337","3416284"
"создание и обслуживание систем контроля доступа к портам и устройствам","7970795","261","3985397"
"организацию антивирусной защиты","3876867","195","1292289"
"решения касающиеся сетевой безопасности и отражения угроз","2775313","101","1387656"
"организация систем видеонаблюдения","3617007","277","1205669"
"построение и обслуживание структурированных кабельных систем (СКС)","2804922","347","1402461"
"создание и поддержка интеллектуальных медиасистем","1843433","43","921716"
"телефония","7609737","239","3804868"
"создание виртуального офиса","9407151","124","4703575"
"организация резервного копирования","9526049","241","3175349"
"администрирование сетей и серверов","4112597","308","2056298"
"техническая поддержка рабочих станций и ИТ сервисов","2042313","24","680771"
"веб-разработка","1079828","206","359942"
"создание мобильных систем","6247297","96","3123648"
"создание и обслуживание систем контроля доступа к портам и устройствам","7019236","138","2339745"
"организацию антивирусной защиты","7846703","256","2615567"
"решения касающиеся сетевой безопасности и отражения угроз","5900532","244","2950266"
"организация систем видеонаблюдения","1918558","210","959279"
"построение и обслуживание структурированных кабельных систем (СКС)","4378086","360","1459362"
"создание и поддержка интеллектуальных медиасистем","280899","172","93633"
"телефония","4009723","195","1336574"
"создание виртуального офиса","4492787","220","2246393"
"организация резервного копирования","4041258","87","2020629"
"администрирование сетей и серверов","7353620","179","3676810"
"техническая поддержка рабочих станций и ИТ сервисов","1088231","174","544115"
"веб-разработка","7819872","289","3909936"
"создание мобильных систем","9489608","93","3163202"
