"""администрирование сетей и серверов""","""159""","""1005816""","""502908"""
"""администрирование сетей и серверов""","""142""","""1006154""","""503077"""
"""администрирование сетей и серверов""","""256""","""1011341""","""337113"""
"""администрирование сетей и серверов""","""248""","""1066823""","""355607"""
"""администрирование сетей и серверов""","""107""","""1109768""","""369922"""
"""администрирование сетей и серверов""","""42""","""1117860""","""558930"""
"""администрирование сетей и серверов""","""158""","""1130663""","""376887"""
"""администрирование сетей и серверов""","""16""","""1171164""","""390388"""
"""администрирование сетей и серверов""","""192""","""1182613""","""394204"""
"""администрирование сетей и серверов""","""189""","""1191961""","""397320"""
"""администрирование сетей и серверов""","""353""","""1211817""","""605908"""
"""администрирование сетей и серверов""","""260""","""1231714""","""410571"""
"""администрирование сетей и серверов""","""225""","""1255117""","""627558"""
"""администрирование сетей и серверов""","""307""","""1280004""","""426668"""
"""администрирование сетей и серверов""","""327""","""1280696""","""640348"""
"""администрирование сетей и серверов""","""208""","""1292672""","""430890"""
"""администрирование сетей и серверов""","""319""","""1321052""","""660526"""
"""администрирование сетей и серверов""","""182""","""1324315""","""662157"""
"""администрирование сетей и серверов""","""51""","""1329778""","""443259"""
"""администрирование сетей и серверов""","""49""","""1332602""","""444200"""
"""администрирование сетей и серверов""","""310""","""1347047""","""673523"""
"""администрирование сетей и серверов""","""274""","""1363116""","""681558"""
"""администрирование сетей и серверов""","""236""","""1371071""","""685535"""
"""администрирование сетей и серверов""","""231""","""1376723""","""688361"""
"""администрирование сетей и серверов""","""198""","""1387050""","""693525"""
"""администрирование сетей и серверов""","""316""","""1398934""","""699467"""
"""администрирование сетей и серверов""","""164""","""1402490""","""467496"""
"""администрирование сетей и серверов""","""196""","""1403278""","""701639"""
"""администрирование сетей и серверов""","""353""","""1408044""","""469348"""
"""администрирование сетей и серверов""","""197""","""1411835""","""705917"""
"""администрирование сетей и серверов""","""159""","""1428984""","""714492"""
"""администрирование сетей и серверов""","""342""","""1431550""","""477183"""
"""администрирование сетей и серверов""","""340""","""1435464""","""717732"""
"""администрирование сетей и серверов""","""47""","""1438616""","""479538"""
"""администрирование сетей и серверов""","""152""","""1442576""","""480858"""
"""администрирование сетей и серверов""","""65""","""1442594""","""721297"""
"""администрирование сетей и серверов""","""338""","""1477599""","""492533"""
"""администрирование сетей и серверов""","""48""","""1484356""","""494785"""
"""администрирование сетей и серверов""","""144""","""1491271""","""745635"""
"""администрирование сетей и серверов""","""257""","""1513052""","""504350"""
"""администрирование сетей и серверов""","""183""","""1532456""","""510818"""
"""администрирование сетей и серверов""","""359""","""1547975""","""515991"""
"""администрирование сетей и серверов""","""73""","""1565462""","""521820"""
"""администрирование сетей и серверов""","""84""","""1569750""","""784875"""
"""администрирование сетей и серверов""","""316""","""1587310""","""529103"""
"""администрирование сетей и серверов""","""94""","""1589818""","""529939"""
"""администрирование сетей и серверов""","""79""","""1616049""","""808024"""
"""администрирование сетей и серверов""","""60""","""1627187""","""542395"""
"""администрирование сетей и серверов""","""34""","""1628571""","""814285"""
"""администрирование сетей и серверов""","""347""","""1646370""","""548790"""
"""администрирование сетей и серверов""","""119""","""1647136""","""823568"""
"""администрирование сетей и серверов""","""120""","""1650254""","""550084"""
"""администрирование сетей и серверов""","""222""","""1673243""","""836621"""
"""администрирование сетей и серверов""","""84""","""1674708""","""837354"""
"""администрирование сетей и серверов""","""61""","""1685819""","""842909"""
"""администрирование сетей и серверов""","""361""","""1700228""","""566742"""
"""администрирование сетей и серверов""","""142""","""1709171""","""569723"""
"""администрирование сетей и серверов""","""281""","""1723833""","""574611"""
"""администрирование сетей и серверов""","""96""","""1737679""","""868839"""
"""администрирование сетей и серверов""","""15""","""1742067""","""580689"""
"""администрирование сетей и серверов""","""336""","""1751906""","""875953"""
"""администрирование сетей и серверов""","""142""","""1764033""","""882016"""
"""администрирование сетей и серверов""","""203""","""1771408""","""590469"""
"""администрирование сетей и серверов""","""51""","""1802633""","""600877"""
"""администрирование сетей и серверов""","""190""","""1808096""","""904048"""
"""администрирование сетей и серверов""","""260""","""1820119""","""910059"""
"""администрирование сетей и серверов""","""311""","""1831903""","""915951"""
"""администрирование сетей и серверов""","""182""","""1836880""","""918440"""
"""администрирование сетей и серверов""","""41""","""1852711""","""617570"""
"""администрирование сетей и серверов""","""210""","""1855539""","""927769"""
"""администрирование сетей и серверов""","""145""","""1899896""","""633298"""
"""администрирование сетей и серверов""","""272""","""1907213""","""635737"""
"""администрирование сетей и серверов""","""214""","""1908555""","""636185"""
"""администрирование сетей и серверов""","""132""","""1910381""","""636793"""
"""администрирование сетей и серверов""","""125""","""191395""","""63798"""
"""администрирование сетей и серверов""","""27""","""1914629""","""957314"""
"""администрирование сетей и серверов""","""185""","""1917060""","""958530"""
"""администрирование сетей и серверов""","""20""","""1924320""","""641440"""
"""администрирование сетей и серверов""","""40""","""1931472""","""643824"""
"""администрирование сетей и серверов""","""145""","""1948776""","""974388"""
"""администрирование сетей и серверов""","""177""","""1956036""","""652012"""
"""администрирование сетей и серверов""","""176""","""196078""","""98039"""
"""администрирование сетей и серверов""","""26""","""1974752""","""658250"""
"""администрирование сетей и серверов""","""358""","""1991489""","""995744"""
"""администрирование сетей и серверов""","""146""","""2003474""","""667824"""
"""администрирование сетей и серверов""","""209""","""2006425""","""1003212"""
"""администрирование сетей и серверов""","""33""","""2015914""","""671971"""
"""администрирование сетей и серверов""","""173""","""2019664""","""673221"""
"""администрирование сетей и серверов""","""330""","""2026876""","""1013438"""
"""администрирование сетей и серверов""","""259""","""2027477""","""1013738"""
"""администрирование сетей и серверов""","""167""","""2038940""","""1019470"""
"""администрирование сетей и серверов""","""276""","""2069308""","""689769"""
"""администрирование сетей и серверов""","""275""","""2088668""","""1044334"""
"""администрирование сетей и серверов""","""16""","""2155499""","""718499"""
"""администрирование сетей и серверов""","""61""","""2158097""","""719365"""
"""администрирование сетей и серверов""","""180""","""2199815""","""1099907"""
"""администрирование сетей и серверов""","""126""","""2216094""","""738698"""
"""администрирование сетей и серверов""","""293""","""2226345""","""742115"""
"""администрирование сетей и серверов""","""177""","""222730""","""111365"""
"""администрирование сетей и серверов""","""87""","""2231533""","""743844"""
"""администрирование сетей и серверов""","""146""","""2275212""","""1137606"""
"""администрирование сетей и серверов""","""214""","""2279235""","""759745"""
"""администрирование сетей и серверов""","""328""","""2312117""","""1156058"""
"""администрирование сетей и серверов""","""168""","""2326341""","""775447"""
"""администрирование сетей и серверов""","""329""","""2330562""","""776854"""
"""администрирование сетей и серверов""","""67""","""2340634""","""1170317"""
"""администрирование сетей и серверов""","""313""","""2354888""","""1177444"""
"""администрирование сетей и серверов""","""143""","""2358507""","""786169"""
"""администрирование сетей и серверов""","""182""","""2360539""","""1180269"""
"""администрирование сетей и серверов""","""254""","""2403444""","""801148"""
"""администрирование сетей и серверов""","""267""","""2408831""","""802943"""
