"""администрирование сетей и серверов""","""307""","""1280004""","""426668"""
"""администрирование сетей и серверов""","""231""","""1376723""","""688361"""
"""администрирование сетей и серверов""","""152""","""1442576""","""480858"""
"""администрирование сетей и серверов""","""281""","""1723833""","""574611"""
"""администрирование сетей и серверов""","""336""","""1751906""","""875953"""
"""администрирование сетей и серверов""","""41""","""1852711""","""617570"""
"""администрирование сетей и серверов""","""259""","""2027477""","""1013738"""
"""администрирование сетей и серверов""","""269""","""2567369""","""1283684"""
"""администрирование сетей и серверов""","""315""","""2678252""","""1339126"""
"""администрирование сетей и серверов""","""182""","""2855106""","""1427553"""
"""администрирование сетей и серверов""","""43""","""2920931""","""1460465"""
"""администрирование сетей и серверов""","""183""","""305436""","""152718"""
"""администрирование сетей и серверов""","""354""","""3201056""","""1067018"""
"""администрирование сетей и серверов""","""352""","""3343419""","""1114473"""
"""администрирование сетей и серверов""","""291""","""3394649""","""1131549"""
"""администрирование сетей и серверов""","""36""","""3586993""","""1793496"""
"""администрирование сетей и серверов""","""289""","""378238""","""126079"""
"""администрирование сетей и серверов""","""256""","""389439""","""194719"""
"""администрирование сетей и серверов""","""263""","""397545""","""132515"""
"""администрирование сетей и серверов""","""40""","""3975723""","""1987861"""
"""администрирование сетей и серверов""","""329""","""4407353""","""2203676"""
"""администрирование сетей и серверов""","""244""","""4691109""","""2345554"""
"""администрирование сетей и серверов""","""229""","""483238""","""161079"""
"""администрирование сетей и серверов""","""24""","""4908777""","""1636259"""
"""администрирование сетей и серверов""","""135""","""4940928""","""1646976"""
"""администрирование сетей и серверов""","""44""","""5087396""","""1695798"""
"""администрирование сетей и серверов""","""45""","""5201974""","""1733991"""
"""администрирование сетей и серверов""","""349""","""5265554""","""1755184"""
"""администрирование сетей и серверов""","""39""","""5536979""","""2768489"""
"""администрирование сетей и серверов""","""92""","""5826908""","""2913454"""
"""администрирование сетей и серверов""","""271""","""5994275""","""2997137"""
"""администрирование сетей и серверов""","""271""","""6223613""","""3111806"""
"""администрирование сетей и серверов""","""356""","""6299369""","""2099789"""
"""администрирование сетей и серверов""","""149""","""683730""","""341865"""
"""администрирование сетей и серверов""","""181""","""7347548""","""3673774"""
"""администрирование сетей и серверов""","""20""","""7506528""","""3753264"""
"""администрирование сетей и серверов""","""129""","""7612486""","""3806243"""
"""администрирование сетей и серверов""","""323""","""8174827""","""4087413"""
"""администрирование сетей и серверов""","""206""","""8248169""","""4124084"""
"""администрирование сетей и серверов""","""331""","""830444""","""415222"""
"""администрирование сетей и серверов""","""175""","""8537184""","""4268592"""
"""администрирование сетей и серверов""","""96""","""8619687""","""2873229"""
"""администрирование сетей и серверов""","""282""","""9341273""","""4670636"""
"""администрирование сетей и серверов""","""280""","""9379177""","""4689588"""
"""администрирование сетей и серверов""","""130""","""9720728""","""3240242"""
"""администрирование сетей и серверов""","""31""","""9894181""","""4947090"""
"""администрирование сетей и серверов""","""191""","""9988563""","""4994281"""
"""веб-разработка""","""266""","""1291476""","""645738"""
"""веб-разработка""","""316""","""1293267""","""646633"""
"""веб-разработка""","""315""","""1638001""","""546000"""
"""веб-разработка""","""173""","""2073975""","""1036987"""
"""веб-разработка""","""259""","""222825""","""111412"""
"""веб-разработка""","""231""","""2236545""","""1118272"""
"""веб-разработка""","""121""","""2413226""","""804408"""
"""веб-разработка""","""176""","""243356""","""121678"""
"""веб-разработка""","""281""","""2654298""","""884766"""
