"""администрирование сетей и серверов""","300","104437","52218"
"""администрирование сетей и серверов""","15","113526","37842"
"""администрирование сетей и серверов""","226","150102","75051"
"""администрирование сетей и серверов""","126","179146","89573"
"""администрирование сетей и серверов""","272","184319","92159"
"""администрирование сетей и серверов""","223","184498","92249"
"""администрирование сетей и серверов""","174","200003","100001"
"""администрирование сетей и серверов""","19","204222","68074"
"""администрирование сетей и серверов""","324","255541","127770"
"""администрирование сетей и серверов""","159","345925","115308"
"""администрирование сетей и серверов""","18","405400","135133"
"""администрирование сетей и серверов""","17","442340","147446"
"""администрирование сетей и серверов""","42","463971","154657"
"""администрирование сетей и серверов""","178","514228","257114"
"""администрирование сетей и серверов""","161","551523","275761"
"""администрирование сетей и серверов""","224","564152","188050"
"""администрирование сетей и серверов""","121","564298","282149"
"""администрирование сетей и серверов""","49","567349","283674"
"""администрирование сетей и серверов""","14","578550","192850"
"""администрирование сетей и серверов""","318","588751","294375"
"""администрирование сетей и серверов""","268","602433","301216"
"""администрирование сетей и серверов""","55","608087","202695"
"""администрирование сетей и серверов""","204","615038","307519"
"""администрирование сетей и серверов""","180","621515","310757"
"""администрирование сетей и серверов""","273","626342","313171"
"""администрирование сетей и серверов""","114","655138","327569"
"""администрирование сетей и серверов""","164","659064","219688"
"""администрирование сетей и серверов""","291","676924","225641"
"""администрирование сетей и серверов""","318","724401","241467"
"""администрирование сетей и серверов""","310","738507","246169"
"""администрирование сетей и серверов""","157","765442","382721"
"""администрирование сетей и серверов""","112","770749","256916"
"""администрирование сетей и серверов""","96","777501","259167"
"""администрирование сетей и серверов""","208","784221","261407"
"""администрирование сетей и серверов""","100","794948","397474"
"""администрирование сетей и серверов""","135","795618","397809"
"""администрирование сетей и серверов""","208","842589","421294"
"""администрирование сетей и серверов""","66","855742","285247"
"""администрирование сетей и серверов""","279","883260","441630"
"""администрирование сетей и серверов""","213","914711","457355"
"""администрирование сетей и серверов""","200","918781","459390"
"""администрирование сетей и серверов""","202","929596","309865"
"""администрирование сетей и серверов""","42","948125","474062"
"""администрирование сетей и серверов""","330","963787","321262"
"""администрирование сетей и серверов""","243","964551","321517"
"""администрирование сетей и серверов""","47","1005756","502878"
"""администрирование сетей и серверов""","258","1008334","504167"
"""администрирование сетей и серверов""","235","1013937","506968"
"""администрирование сетей и серверов""","178","1047132","349044"
"""администрирование сетей и серверов""","272","1065267","355089"
"""администрирование сетей и серверов""","211","1070941","356980"
"""администрирование сетей и серверов""","269","1073223","536611"
"""администрирование сетей и серверов""","306","1081282","540641"
