"""администрирование сетей и серверов""","253","114934","57467"
"""администрирование сетей и серверов""","188","228737","114368"
"""администрирование сетей и серверов""","45","266000","88666"
"""администрирование сетей и серверов""","284","268673","89557"
"""администрирование сетей и серверов""","328","322104","107368"
"""администрирование сетей и серверов""","113","1075768","537884"
"""администрирование сетей и серверов""","134","1111281","555640"
"""администрирование сетей и серверов""","37","1166904","583452"
"""администрирование сетей и серверов""","214","1294218","431406"
"""администрирование сетей и серверов""","325","1968180","656060"
"""администрирование сетей и серверов""","175","2001723","1000861"
"""администрирование сетей и серверов""","214","2129392","1064696"
"""администрирование сетей и серверов""","247","2133631","711210"
"""администрирование сетей и серверов""","90","2270021","1135010"
"""администрирование сетей и серверов""","129","2392586","797528"
"""администрирование сетей и серверов""","254","2520530","840176"
"""администрирование сетей и серверов""","236","2621556","1310778"
"""администрирование сетей и серверов""","68","2857641","952547"
"""администрирование сетей и серверов""","30","2960339","1480169"
"""администрирование сетей и серверов""","221","3504736","1168245"
"""администрирование сетей и серверов""","295","3644839","1822419"
"""администрирование сетей и серверов""","66","3775416","1258472"
"""администрирование сетей и серверов""","27","3831005","1277001"
"""администрирование сетей и серверов""","50","4113881","1371293"
"""администрирование сетей и серверов""","164","4588173","2294086"
"""администрирование сетей и серверов""","295","4670949","1556983"
"""администрирование сетей и серверов""","219","4697030","2348515"
"""администрирование сетей и серверов""","253","4737117","2368558"
"""администрирование сетей и серверов""","180","4798367","2399183"
"""администрирование сетей и серверов""","100","5880907","1960302"
"""администрирование сетей и серверов""","135","6009908","2003302"
"""администрирование сетей и серверов""","348","6046434","3023217"
"""администрирование сетей и серверов""","174","7023385","3511692"
"""администрирование сетей и серверов""","174","7045976","3522988"
"""администрирование сетей и серверов""","284","7396754","3698377"
"""администрирование сетей и серверов""","94","7411866","3705933"
"""администрирование сетей и серверов""","82","8386829","2795609"
"""администрирование сетей и серверов""","132","9659422","3219807"
"""администрирование сетей и серверов""","80","9970096","4985048"
"""веб-разработка""","187","605699","201899"
"""веб-разработка""","97","685085","228361"
"""веб-разработка""","16","797997","265999"
"""веб-разработка""","286","1338120","669060"
"""веб-разработка""","122","1726548","575516"
"""веб-разработка""","299","2064478","1032239"
"""веб-разработка""","242","2351276","1175638"
"""веб-разработка""","131","2445105","1222552"
"""веб-разработка""","296","2471959","1235979"
"""веб-разработка""","319","2501428","1250714"
"""веб-разработка""","239","2554645","1277322"
"""веб-разработка""","347","2972021","1486010"
"""веб-разработка""","134","3030888","1515444"
"""веб-разработка""","255","3331396","1665698"
"""веб-разработка""","78","3571833","1190611"
"""веб-разработка""","351","3851241","1283747"
"""веб-разработка""","326","3907436","1953718"
"""веб-разработка""","285","4303247","1434415"
"""веб-разработка""","331","4357201","1452400"
"""веб-разработка""","249","4388075","2194037"
"""веб-разработка""","180","4744712","2372356"
"""веб-разработка""","86","4862761","1620920"
"""веб-разработка""","361","5312120","1770706"
"""веб-разработка""","147","5315415","1771805"
"""веб-разработка""","52","5693890","1897963"
"""веб-разработка""","120","6223350","3111675"
"""веб-разработка""","319","6841765","3420882"
"""веб-разработка""","307","7073657","3536828"
"""веб-разработка""","265","7107572","3553786"
"""веб-разработка""","332","7272312","3636156"
"""веб-разработка""","358","8037640","4018820"
